region,past_b,pres_b,fut_b,min_past,max_past,min_pres,max_pres,min_fut,max_fut
"POOL",.3930509,.2513283,.3556209,.3886151,.3974867,.2462257,.2564309,.3511519,.3600898
"AE",.421444,.2212248,.3573311,.3990738,.4438143,.1957219,.2467277,.3346088,.3800535
"AF",.4011985,.2473145,.351487,.3436383,.4587587,.1811071,.313522,.2933805,.4095935
"AL",.4963475,.1618835,.341769,.4559056,.5367894,.1159811,.207786,.3005378,.3830001
"AM",.6469592,.0875836,.2654572,.6023716,.6915467,.0383817,.1367854,.219749,.3111655
"AO",.4418428,.279144,.2790131,.3993203,.4843653,.229509,.328779,.2350025,.3230237
"AR",.3467416,.2337772,.4194812,.3250745,.3684087,.2092106,.2583438,.3980958,.4408667
"AT",.2952519,.2037388,.5010093,.2738299,.3166739,.1799699,.2275077,.4802613,.5217572
"AU",.2785964,.3325527,.3888508,.258982,.2982109,.310023,.3550825,.3697694,.4079323
"AW",.3380926,.2605729,.4013345,.2933097,.3828755,.2095069,.3116388,.3571133,.4455557
"AZ",.4111533,.2052823,.3835644,.3772523,.4450544,.1666697,.2438949,.3495143,.4176145
"BA",.4557728,.1722524,.3719748,.4236152,.4879303,.1357315,.2087734,.3394549,.4044947
"BB",.4129516,.2991808,.2878676,.3734922,.4524111,.252967,.3453946,.2472751,.32846
"BD",.4590577,.284055,.2568872,.4167159,.5013995,.2344861,.3336239,.2126767,.3010978
"BE",.3141558,.2245482,.461296,.2966366,.3316751,.2048984,.2441979,.4442146,.4783775
"BF",.3834391,.2902369,.326324,.3251737,.4417045,.2225184,.3579553,.2673185,.3853295
"BG",.3626178,.2740318,.3633504,.3428292,.3824064,.2512457,.2968178,.3435649,.383136
"BH",.4067469,.2189144,.3743387,.3782571,.4352367,.186373,.2514558,.3456922,.4029851
"BI",.3485912,.2802213,.3711875,.2441294,.4530531,.1600701,.4003724,.2672297,.4751453
"BJ",.3682507,.3110702,.3206791,.3175258,.4189756,.2518675,.3702729,.269382,.3719762
"BN",.4342928,.2711007,.2946064,.4034766,.465109,.235248,.3069535,.2628905,.3263223
"BO",.4641011,.1864729,.3494259,.4415478,.4866545,.1607664,.2121794,.3264966,.3723553
"BR",.2998942,.2406425,.4594633,.2808972,.3188911,.2193283,.2619568,.4410147,.477912
"BS",.3712983,.3514913,.2772104,.332219,.4103776,.30517,.3978125,.2371514,.3172694
"BT",.3472437,.3592549,.2935014,.252299,.4421884,.2469588,.471551,.1971743,.3898286
"BW",.4947353,.2251972,.2800675,.4452314,.5442392,.1681742,.2822202,.2287135,.3314215
"BY",.5027643,.1526919,.3445438,.4759142,.5296144,.1222702,.1831136,.3171876,.3719
"BZ",.4225042,.2883867,.2891091,.3699338,.4750746,.2269645,.3498088,.234984,.3432343
"CA",.3159279,.3538253,.3302469,.3009512,.3309046,.3362888,.3713617,.315327,.3451667
"CD",.3392877,.2425527,.4181596,.2785814,.3999941,.1736752,.3114302,.3583386,.4779806
"CF",.2351486,.341971,.4228804,.0518538,.4184434,.1333736,.5505683,.2480677,.5976931
"CG",.4098421,.2801176,.3100404,.3325824,.4871017,.1902405,.3699946,.231119,.3889617
"CH",.2589683,.2716329,.4693988,.2401081,.2778285,.2505553,.2927105,.4513332,.4874644
"CI",.4495213,.1944995,.3559793,.4097073,.4893353,.1490803,.2399187,.3156011,.3963574
"CL",.2898877,.2520027,.4581096,.2631494,.316626,.2219954,.2820101,.4322194,.4839997
"CM",.471406,.1757694,.3528246,.4275708,.5152411,.1259047,.2256342,.3082766,.3973726
"CN",.4186132,.1945086,.3868782,.3738001,.4634263,.143549,.2454682,.34185,.4319064
