date,hits,keyword
2008-01-01,2,2015
2008-01-02,2,2015
2008-01-03,2,2015
2008-01-04,4,2015
2008-01-05,2,2015
2008-01-06,1,2015
2008-01-07,5,2015
2008-01-08,2,2015
2008-01-09,4,2015
2008-01-10,4,2015
2008-01-11,5,2015
2008-01-12,3,2015
2008-01-13,3,2015
2008-01-14,5,2015
2008-01-15,3,2015
2008-01-16,3,2015
2008-01-17,4,2015
2008-01-18,5,2015
2008-01-19,2,2015
2008-01-20,2,2015
2008-01-21,4,2015
2008-01-22,3,2015
2008-01-23,3,2015
2008-01-24,5,2015
2008-01-25,5,2015
2008-01-26,3,2015
2008-01-27,4,2015
2008-01-28,4,2015
2008-01-29,4,2015
2008-01-30,2,2015
2008-01-31,4,2015
2008-02-01,4,2015
2008-02-02,4,2015
2008-02-03,4,2015
2008-02-04,5,2015
2008-02-05,5,2015
2008-02-06,5,2015
2008-02-07,3,2015
2008-02-08,4,2015
2008-02-09,4,2015
2008-02-10,3,2015
2008-02-11,5,2015
2008-02-12,3,2015
2008-02-13,4,2015
2008-02-14,4,2015
2008-02-15,5,2015
2008-02-16,4,2015
2008-02-17,2,2015
2008-02-18,6,2015
2008-02-19,4,2015
2008-02-20,3,2015
2008-02-21,4,2015
2008-02-22,3,2015
2008-02-23,2,2015
2008-02-24,4,2015
2008-02-25,3,2015
2008-02-26,3,2015
2008-02-27,4,2015
2008-02-28,4,2015
2008-02-29,3,2015
2008-03-01,6,2015
2008-03-02,4,2015
2008-03-03,5,2015
2008-03-04,6,2015
2008-03-05,3,2015
2008-03-06,3,2015
2008-03-07,7,2015
2008-03-08,3,2015
2008-03-09,4,2015
2008-03-10,2,2015
2008-03-11,2,2015
2008-03-12,4,2015
2008-03-13,5,2015
2008-03-14,4,2015
2008-03-15,4,2015
2008-03-16,6,2015
2008-03-17,5,2015
2008-03-18,4,2015
2008-03-19,4,2015
2008-03-20,4,2015
2008-03-21,2,2015
2008-03-22,4,2015
2008-03-23,2,2015
2008-03-24,5,2015
2008-03-25,4,2015
2008-03-26,5,2015
2008-03-27,4,2015
2008-03-28,7,2015
2008-03-29,4,2015
2008-03-30,6,2015
2008-03-31,100,2015
2008-04-01,47,2015
2008-04-02,22,2015
2008-04-03,14,2015
2008-04-04,11,2015
2008-04-05,8,2015
2008-04-06,7,2015
2008-04-07,13,2015
2008-04-08,6,2015
2008-04-09,8,2015
2008-04-10,5,2015
2008-04-11,6,2015
2008-04-12,6,2015
2008-04-13,2,2015
2008-04-14,4,2015
2008-04-15,4,2015
2008-04-16,4,2015
2008-04-17,5,2015
2008-04-18,6,2015
2008-04-19,5,2015
2008-04-20,3,2015
2008-04-21,3,2015
2008-04-22,3,2015
2008-04-23,5,2015
2008-04-24,6,2015
2008-04-25,4,2015
2008-04-26,2,2015
2008-04-27,3,2015
2008-04-28,4,2015
2008-04-29,5,2015
2008-04-30,4,2015
2008-05-01,2,2015
2008-05-02,4,2015
2008-05-03,3,2015
2008-05-04,4,2015
2008-05-05,3,2015
2008-05-06,4,2015
2008-05-07,4,2015
2008-05-08,4,2015
2008-05-09,4,2015
2008-05-10,3,2015
2008-05-11,4,2015
2008-05-12,5,2015
2008-05-13,8,2015
2008-05-14,4,2015
2008-05-15,4,2015
2008-05-16,4,2015
2008-05-17,4,2015
2008-05-18,2,2015
2008-05-19,6,2015
2008-05-20,6,2015
2008-05-21,5,2015
2008-05-22,2,2015
2008-05-23,5,2015
2008-05-24,2,2015
2008-05-25,6,2015
2008-05-26,3,2015
2008-05-27,5,2015
2008-05-28,3,2015
2008-05-29,4,2015
2008-05-30,4,2015
2008-05-31,4,2015
2008-06-01,5,2015
2008-06-02,4,2015
2008-06-03,5,2015
2008-06-04,3,2015
2008-06-05,5,2015
2008-06-06,3,2015
2008-06-07,5,2015
2008-06-08,2,2015
2008-06-09,3,2015
2008-06-10,3,2015
2008-06-11,4,2015
2008-06-12,3,2015
2008-06-13,3,2015
2008-06-14,3,2015
2008-06-15,4,2015
2008-06-16,6,2015
2008-06-17,3,2015
2008-06-18,3,2015
2008-06-19,3,2015
2008-06-20,5,2015
2008-06-21,4,2015
2008-06-22,2,2015
2008-06-23,3,2015
2008-06-24,5,2015
2008-06-25,3,2015
2008-06-26,5,2015
2008-06-27,4,2015
2008-06-28,3,2015
2008-06-29,3,2015
2008-06-30,3,2015
2008-07-01,4,2015
2008-07-02,4,2015
2008-07-03,5,2015
2008-07-04,6,2015
2008-07-05,4,2015
2008-07-06,2,2015
2008-07-07,5,2015
2008-07-08,3,2015
2008-07-09,4,2015
2008-07-10,5,2015
2008-07-11,3,2015
2008-07-12,4,2015
2008-07-13,2,2015
2008-07-14,6,2015
2008-07-15,4,2015
2008-07-16,4,2015
2008-07-17,5,2015
2008-07-18,4,2015
2008-07-19,2,2015
2008-07-20,4,2015
2008-07-21,4,2015
2008-07-22,4,2015
2008-07-23,3,2015
2008-07-24,5,2015
2008-07-25,4,2015
2008-07-26,3,2015
2008-07-27,5,2015
2008-07-28,4,2015
2008-07-29,4,2015
2008-07-30,6,2015
2008-07-31,5,2015
2008-08-01,3,2015
2008-08-02,4,2015
2008-08-03,2,2015
2008-08-04,4,2015
2008-08-05,4,2015
2008-08-06,5,2015
2008-08-07,4,2015
2008-08-08,3,2015
2008-08-09,3,2015
2008-08-10,5,2015
2008-08-11,3,2015
2008-08-12,4,2015
2008-08-13,3,2015
2008-08-14,4,2015
2008-08-15,3,2015
2008-08-16,6,2015
2008-08-17,4,2015
2008-08-18,5,2015
2008-08-19,4,2015
2008-08-20,6,2015
2008-08-21,5,2015
2008-08-22,2,2015
2008-08-23,3,2015
2008-08-24,5,2015
2008-08-25,6,2015
2008-08-26,4,2015
2008-08-27,3,2015
2008-08-28,3,2015
2008-08-29,5,2015
2008-08-30,4,2015
2008-08-31,3,2015
2008-09-01,5,2015
2008-09-02,5,2015
2008-09-03,6,2015
2008-09-04,4,2015
2008-09-05,4,2015
2008-09-06,2,2015
2008-09-07,3,2015
2008-09-08,4,2015
2008-09-09,4,2015
2008-09-10,4,2015
2008-09-11,5,2015
2008-09-12,4,2015
2008-09-13,3,2015
2008-09-14,5,2015
2008-09-15,7,2015
2008-09-16,4,2015
2008-09-17,4,2015
2008-09-18,4,2015
2008-09-19,4,2015
2008-09-20,4,2015
2008-09-21,3,2015
2008-09-22,5,2015
2008-09-23,3,2015
2008-09-24,4,2015
2008-09-25,3,2015
2008-09-26,5,2015
2008-09-27,5.06709856547895,2015
2008-09-28,1.87413234613605,2015
2008-09-29,4.9976862563628,2015
2008-09-30,5.6918093475243,2015
2008-10-01,3.7482646922721,2015
2008-10-02,3.95650161962055,2015
2008-10-03,3.81767700138825,2015
2008-10-04,4.164738546969,2015
2008-10-05,4.37297547431745,2015
2008-10-06,3.67885238315595,2015
2008-10-07,4.5812124016659,2015
2008-10-08,5.62239703840815,2015
2008-10-09,6.10828320222119,2015
2008-10-10,6.03887089310504,2015
2008-10-11,4.37297547431745,2015
2008-10-12,4.09532623785285,2015
2008-10-13,4.65062471078205,2015
2008-10-14,4.78944932901435,2015
2008-10-15,6.17769551133734,2015
2008-10-16,2.98472929199445,2015
2008-10-17,5.06709856547895,2015
2008-10-18,3.1929662193429,2015
2008-10-19,3.3317908375752,2015
2008-10-20,3.6094400740398,2015
2008-10-21,3.6094400740398,2015
2008-10-22,2.6376677464137,2015
2008-10-23,5.20592318371125,2015
2008-10-24,3.6094400740398,2015
